,BERT,RAKE,KR-WordRank
미하하하하하하하하하하하하하하하하하하하하하하하하하하하하핳ㅎㅎㅎㅎㅎㅎ,['미하하하하하하하하하하하하하하하하하하하하하하하하하하하핳ㅎㅎㅎㅎㅎㅎ'],[],['미하하하하하하하하하하하하하하하하하하하하하하하하하하하하핳ㅎㅎㅎㅎㅎㅎ']
나꿍꼬또댜기꿍꼬또,['나꿍꼬또댜기꿍꼬또'],['꼬또댜기꿍꼬'],['나꿍']
그냥 자라..누구냐너,"['그냥', '자라..누구냐너']",[],"['자라', '그냥', '누구냐너']"
어디 갔다 왐수꽈?,['어디'],['왐수꽈'],"['갔다', '어디', '왐수꽈']"
요새 어떵 살미꽈? 좋수과?,['좋수'],"['좋수과', '살미꽈']","['좋수과', '어떵', '요새', '살미꽈']"
"당연이 줄 수 있지, 문자 한번 다시 다오~^^","['당', '줄', '있']",[],"['다오', '문자', '한번', '다시', '당연', '있지']"
우리가 현준이를 종잡을 수 있겠나,"['우리', '종잡', '현준']",['있겠나'],"['우리가', '현준이를', '종잡을', '있겠나']"
고대 연구실에서 나올리가…,"['연구실', '고대', '나오']",['연구실'],"['고대', '나올리가', '연구실에서']"
다들 곧 퇴근하시겠군요,"['퇴근', '다']",['하시겠군요'],"['다들', '퇴근']"
재택과 백수 앞에 무력하네요,"['백수', '재택', '앞', '무력']",['무력하네요'],"['재택과', '앞에', '무력하네요', '백수']"
짐 놓고 와도 도착하는ㅅ ㅣ간 아님?,"['놓', '짐']",[],"['와도', '도착', '놓고']"
9시에 만난다고하먀ㅏㄴ 난장판 되어있을듯 하다,"['만난다고하먀ㅏ', '난장판', '하다']","['만난다고하', '난장판', '되어있을듯']","['난장판', '하다', '9시에', '만난다고하먀', '되어있을듯']"
오랜만이야~ 보고싶었어~ 나도 요새 취준해… 너도 잘 살지?,"['취', '나', '오랜만', '요새', '너', '살']","['취준해', '보고싶었어']","['나도', '오랜만이야', '보고싶었어', '살지', '요새', '너도', '취준']"
난 교내 학회에서 프로젝트 하고 있는데 팀원을 때문에 너무 힘들다!!!!,"['팀원', '힘들', '프로젝트', '교내']","['힘들다', '프로젝트', '있는데']","['하고', '프로젝트', '너무', '팀원을', '학회에서', '때문에', '있는데', '교내', '힘들']"
나도 요새 수업 듣는데 좀 힘들다ㅠㅠㅠㅠ 무려 21학점 들어야 해… 살려줘ㅠㅠ 죽고싶어ㅠㅠㅠㅠㅋㅋㅋ,"['21', '듣', '나도', '요새', '웃음', '슬픔']","['살려줘', 'ㅠㅠㅠㅠㅋㅋㅋ', '듣는데']","['무려', '나도', '21학점', '죽고싶어', '살려줘', '수업', '들어야', '요새', '듣는', '힘들']"
나 요새 마라탕 자주 먹는데 개마싰음. 나중에 시간 되면 같이 먹으러 ㄱ?,"['마라', '개마', '나', '나중', '먹', '되', '요새']","['먹는데', '개마싰음', '먹으러']","['나중에', '먹는데', '자주', '개마싰음', '시간', '같이', '되면', '마라탕', '요새', '먹으']"
엄마 나 용돈 떨어졌어 용돈 제바류ㅠㅠㅠㅠㅠ,"['엄마', '나', '떨어지', '용돈', '슬픔']","['ㅠㅠㅠㅠㅠ', '떨어졌어']","['용돈', '엄마', '제바', '떨어']"
여기에 각자 5개씩 제안해주시면 감사드리겠습니다 ㅎㅎ,"['감사', '여기', '제안', '웃음']","['해주시면', '드리겠습니다']","['제안해주시면', '여기에', '감사드리겠습니다', '5개씩', '각자']"
"내일까지 10분 내외로 간단하게 해당 주제에 대한 설명(주제 소개, 목표, 데이터셋, 플로우 등)을 준비해주시면 됩니다","['설명', '목표', '플', '소개', '데이터', '내일', '내외', '해당', '준비', '주제', '주']","['됩니다', '간단하게', '데이터']","['됩니다', '내외로', '해당', '10분', '내일까지', '목표', '주제', '데이터셋', '플로우', '간단하게', '대한', '준비해주시면', '소개', '설명']"
30분에맞춰서 도착할듯?,"['30분에맞춰서', '도착할듯?']",['에맞춰서'],"['도착할듯', '30분에맞춰서']"
그럼 일단 방먹에서봐?,['방'],['먹에서'],"['일단', '그럼', '방먹에서봐']"
이것대로 인스턴스 설정하고 활성화 해야 해,"['이것', '인', '설정', '해']","['인스턴스', '활성화']","['인스턴스', '설정하고', '활성화', '이것대로', '해야']"
나 진짜 너무 배고파,['배고프'],['배고파'],"['너무', '배고', '진짜']"
헐~ ㅁㅊ 그럼 어케 되는겨?,['헐'],[],"['어케', '되는', '그럼']"
오키 그럼 내일 5시에 빨잠에서 보는걸루?,"['보', '내일', '오', '5']",['보는걸'],"['빨잠에서', '보는걸루', '5시에', '오키', '내일', '그럼']"
저는 아아로 부탁드립니다~,"['아', '저', '부탁']",['부탁드립니다'],"['저는', '아아로', '부탁드립니다']"
잘자구 내일 보쟈잉!,['보'],['보쟈잉'],"['내일', '보쟈잉', '잘자구']"
엥 ㅁㅊ 어떻게 그럴 수 있음???,"['있음', '그러', '어떻']",['어떻게'],"['그럴', '어떻']"
아 가보자고,"['아', '가보자고']",['가보자고'],['가보']
어케 해야 하는지 감이 오는 것 같음,"['감', '어', '어야', '오', '같']",['하는지'],"['해야', '감이', '하는지', '어케', '오는', '같음']"
ㅇㅎ…..오비맥주도 저기 겅ㅅ구나……? 흥ㅁ로구먼,"['오비', '저기']",['오비맥주'],"['로구먼', '저기', '오비맥주도']"
